Names,Age,Team,Position,Roles,Nationality,Market Value (In Millions),Player Profile Link,Name ID,ID,League,Player Image
Robert Sánchez,27,Chelsea FC,Goalkeeper,Goalkeeper,Spain,€20.00m,https://www.transfermarkt.us/robert-sanchez/profil/spieler/403151,robert-sanchez,403151,Premier League,https://img.a.transfermarkt.technology/portrait/header/403151-1695028195.jpg?lm=1
Filip Jørgensen,22,Chelsea FC,Goalkeeper,Goalkeeper,Denmark,€20.00m,https://www.transfermarkt.us/filip-jorgensen/profil/spieler/585323,filip-jorgensen,585323,Premier League,https://img.a.transfermarkt.technology/portrait/header/585323-1718280485.jpg?lm=1
Marcus Bettinelli,32,Chelsea FC,Goalkeeper,Goalkeeper,England,€1.00m,https://www.transfermarkt.us/marcus-bettinelli/profil/spieler/116648,marcus-bettinelli,116648,Premier League,https://img.a.transfermarkt.technology/portrait/header/116648-1700671752.jpg?lm=1
Lucas Bergström,22,Chelsea FC,Goalkeeper,Goalkeeper,Finland,€0.7m,https://www.transfermarkt.us/lucas-bergstrom/profil/spieler/490606,lucas-bergstrom,490606,Premier League,https://img.a.transfermarkt.technology/portrait/header/490606-1639405918.jpg?lm=1
Levi Colwill,21,Chelsea FC,Centre-Back,Defender,England,€50.00m,https://www.transfermarkt.us/levi-colwill/profil/spieler/614258,levi-colwill,614258,Premier League,https://img.a.transfermarkt.technology/portrait/header/614258-1694614507.jpg?lm=1
Axel Disasi,26,Chelsea FC,Centre-Back,Defender,France,€35.00m,https://www.transfermarkt.us/axel-disasi/profil/spieler/386047,axel-disasi,386047,Premier League,https://img.a.transfermarkt.technology/portrait/header/386047-1727785671.jpg?lm=1
Benoît Badiashile,23,Chelsea FC,Centre-Back,Defender,France,€30.00m,https://www.transfermarkt.us/benoit-badiashile/profil/spieler/463603,benoit-badiashile,463603,Premier League,https://img.a.transfermarkt.technology/portrait/header/463603-1714721596.jpg?lm=1
Wesley Fofana,23,Chelsea FC,Centre-Back,Defender,France,€25.00m,https://www.transfermarkt.us/wesley-fofana/profil/spieler/475411,wesley-fofana,475411,Premier League,https://img.a.transfermarkt.technology/portrait/header/475411-1683899212.jpg?lm=1
Tosin Adarabioyo,27,Chelsea FC,Centre-Back,Defender,England,€20.00m,https://www.transfermarkt.us/tosin-adarabioyo/profil/spieler/258878,tosin-adarabioyo,258878,Premier League,https://img.a.transfermarkt.technology/portrait/header/258878-1646903871.jpg?lm=1
Renato Veiga,21,Chelsea FC,Centre-Back,Defender,Portugal,€8.00m,https://www.transfermarkt.us/renato-veiga/profil/spieler/805714,renato-veiga,805714,Premier League,https://img.a.transfermarkt.technology/portrait/header/805714-1676275963.jpg?lm=1
Marc Cucurella,26,Chelsea FC,Left-Back,Defender,Spain,€30.00m,https://www.transfermarkt.us/marc-cucurella/profil/spieler/284857,marc-cucurella,284857,Premier League,https://img.a.transfermarkt.technology/portrait/header/284857-1659559729.jpg?lm=1
Ben Chilwell,27,Chelsea FC,Left-Back,Defender,England,€22.00m,https://www.transfermarkt.us/ben-chilwell/profil/spieler/316125,ben-chilwell,316125,Premier League,https://img.a.transfermarkt.technology/portrait/header/316125-1683899136.jpg?lm=1
Reece James,24,Chelsea FC,Right-Back,Defender,England,€35.00m,https://www.transfermarkt.us/reece-james/profil/spieler/472423,reece-james,472423,Premier League,https://img.a.transfermarkt.technology/portrait/header/472423-1683900849.jpg?lm=1
Malo Gusto,21,Chelsea FC,Right-Back,Defender,France,€35.00m,https://www.transfermarkt.us/malo-gusto/profil/spieler/620322,malo-gusto,620322,Premier League,https://img.a.transfermarkt.technology/portrait/header/620322-1672831209.jpg?lm=1
Moisés Caicedo,23,Chelsea FC,Defensive Midfield,Midfield,Ecuador,€75.00m,https://www.transfermarkt.us/moises-caicedo/profil/spieler/687626,moises-caicedo,687626,Premier League,https://img.a.transfermarkt.technology/portrait/header/687626-1660729724.jpg?lm=1
Roméo Lavia,20,Chelsea FC,Defensive Midfield,Midfield,Belgium,€35.00m,https://www.transfermarkt.us/romeo-lavia/profil/spieler/628451,romeo-lavia,628451,Premier League,https://img.a.transfermarkt.technology/portrait/header/628451-1683898478.jpg?lm=1
Enzo Fernández,23,Chelsea FC,Central Midfield,Midfield,Argentina,€75.00m,https://www.transfermarkt.us/enzo-fernandez/profil/spieler/648195,enzo-fernandez,648195,Premier League,https://img.a.transfermarkt.technology/portrait/header/648195-1669894717.jpg?lm=1
Kiernan Dewsbury-Hall,26,Chelsea FC,Central Midfield,Midfield,England,€30.00m,https://www.transfermarkt.us/kiernan-dewsbury-hall/profil/spieler/475188,kiernan-dewsbury-hall,475188,Premier League,https://img.a.transfermarkt.technology/portrait/header/475188-1638810238.jpg?lm=1
Carney Chukwuemeka,21,Chelsea FC,Central Midfield,Midfield,England,€15.00m,https://www.transfermarkt.us/carney-chukwuemeka/profil/spieler/659459,carney-chukwuemeka,659459,Premier League,https://img.a.transfermarkt.technology/portrait/header/659459-1677687144.jpg?lm=1
Cesare Casadei,21,Chelsea FC,Central Midfield,Midfield,Italy,€10.00m,https://www.transfermarkt.us/cesare-casadei/profil/spieler/622380,cesare-casadei,622380,Premier League,https://img.a.transfermarkt.technology/portrait/header/622380-1692967622.jpg?lm=1
Cole Palmer,22,Chelsea FC,Attacking Midfield,Midfield,England,€90.00m,https://www.transfermarkt.us/cole-palmer/profil/spieler/568177,cole-palmer,568177,Premier League,https://img.a.transfermarkt.technology/portrait/header/568177-1712320986.jpg?lm=1
Christopher Nkunku,27,Chelsea FC,Attacking Midfield,Midfield,France,€65.00m,https://www.transfermarkt.us/christopher-nkunku/profil/spieler/344381,christopher-nkunku,344381,Premier League,https://img.a.transfermarkt.technology/portrait/header/344381-1663686834.jpg?lm=1
Mykhaylo Mudryk,23,Chelsea FC,Left Winger,Attack,Ukraine,€30.00m,https://www.transfermarkt.us/mykhaylo-mudryk/profil/spieler/537860,mykhaylo-mudryk,537860,Premier League,https://img.a.transfermarkt.technology/portrait/header/537860-1732822624.jpg?lm=1
Jadon Sancho,24,Chelsea FC,Left Winger,Attack,England,€30.00m,https://www.transfermarkt.us/jadon-sancho/profil/spieler/401173,jadon-sancho,401173,Premier League,https://img.a.transfermarkt.technology/portrait/header/401173-1688564217.jpg?lm=1
Pedro Neto,24,Chelsea FC,Right Winger,Attack,Portugal,€55.00m,https://www.transfermarkt.us/pedro-neto/profil/spieler/487465,pedro-neto,487465,Premier League,https://img.a.transfermarkt.technology/portrait/header/487465-1709158892.jpg?lm=1
Noni Madueke,22,Chelsea FC,Right Winger,Attack,England,€35.00m,https://www.transfermarkt.us/noni-madueke/profil/spieler/503987,noni-madueke,503987,Premier League,https://img.a.transfermarkt.technology/portrait/header/503987-1683102348.jpg?lm=1
João Félix,25,Chelsea FC,Second Striker,Attack,Portugal,€30.00m,https://www.transfermarkt.us/joao-felix/profil/spieler/462250,joao-felix,462250,Premier League,https://img.a.transfermarkt.technology/portrait/header/462250-1668165358.jpg?lm=1
Nicolas Jackson,23,Chelsea FC,Centre-Forward,Attack,Senegal,€40.00m,https://www.transfermarkt.us/nicolas-jackson/profil/spieler/776890,nicolas-jackson,776890,Premier League,https://img.a.transfermarkt.technology/portrait/header/776890-1726227971.jpg?lm=1
Deivid Washington,19,Chelsea FC,Centre-Forward,Attack,Brazil,€9.00m,https://www.transfermarkt.us/deivid-washington/profil/spieler/1082850,deivid-washington,1082850,Premier League,https://img.a.transfermarkt.technology/portrait/header/1082850-1682776110.jpg?lm=1
Marc Guiu,18,Chelsea FC,Centre-Forward,Attack,Spain,€7.50m,https://www.transfermarkt.us/marc-guiu/profil/spieler/938158,marc-guiu,938158,Premier League,https://img.a.transfermarkt.technology/portrait/header/938158-1719846394.jpg?lm=1
David Raya,29,Arsenal FC,Goalkeeper,Goalkeeper,Spain,€35.00m,https://www.transfermarkt.us/david-raya/profil/spieler/262749,david-raya,262749,Premier League,https://img.a.transfermarkt.technology/portrait/header/262749-1668168018.jpg?lm=1
Neto,35,Arsenal FC,Goalkeeper,Goalkeeper,Brazil,€2.50m,https://www.transfermarkt.us/neto/profil/spieler/111819,neto,111819,Premier League,https://img.a.transfermarkt.technology/portrait/header/111819-1725051877.jpg?lm=1
William Saliba,23,Arsenal FC,Centre-Back,Defender,France,€80.00m,https://www.transfermarkt.us/william-saliba/profil/spieler/495666,william-saliba,495666,Premier League,https://img.a.transfermarkt.technology/portrait/header/495666-1718697201.jpg?lm=1
Gabriel Magalhães,26,Arsenal FC,Centre-Back,Defender,Brazil,€75.00m,https://www.transfermarkt.us/gabriel-magalhaes/profil/spieler/435338,gabriel-magalhaes,435338,Premier League,https://img.a.transfermarkt.technology/portrait/header/435338-1684162833.jpg?lm=1
Jurrien Timber,23,Arsenal FC,Centre-Back,Defender,Netherlands,€38.00m,https://www.transfermarkt.us/jurrien-timber/profil/spieler/420243,jurrien-timber,420243,Premier League,https://img.a.transfermarkt.technology/portrait/header/420243-1702413077.jpg?lm=1
Jakub Kiwior,24,Arsenal FC,Centre-Back,Defender,Poland,€30.00m,https://www.transfermarkt.us/jakub-kiwior/profil/spieler/425918,jakub-kiwior,425918,Premier League,https://img.a.transfermarkt.technology/portrait/header/425918-1683101307.jpg?lm=1
Riccardo Calafiori,22,Arsenal FC,Left-Back,Defender,Italy,€45.00m,https://www.transfermarkt.us/riccardo-calafiori/profil/spieler/502821,riccardo-calafiori,502821,Premier League,https://img.a.transfermarkt.technology/portrait/header/502821-1727382174.jpg?lm=1
Oleksandr Zinchenko,27,Arsenal FC,Left-Back,Defender,Ukraine,€35.00m,https://www.transfermarkt.us/oleksandr-zinchenko/profil/spieler/203853,oleksandr-zinchenko,203853,Premier League,https://img.a.transfermarkt.technology/portrait/header/203853-1688658681.jpg?lm=1
Kieran Tierney,27,Arsenal FC,Left-Back,Defender,Scotland,€10.00m,https://www.transfermarkt.us/kieran-tierney/profil/spieler/300716,kieran-tierney,300716,Premier League,https://img.a.transfermarkt.technology/portrait/header/300716-1662666488.jpg?lm=1
Ben White,27,Arsenal FC,Right-Back,Defender,England,€55.00m,https://www.transfermarkt.us/ben-white/profil/spieler/335721,ben-white,335721,Premier League,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg?lm=1
Takehiro Tomiyasu,26,Arsenal FC,Right-Back,Defender,Japan,€35.00m,https://www.transfermarkt.us/takehiro-tomiyasu/profil/spieler/331560,takehiro-tomiyasu,331560,Premier League,https://img.a.transfermarkt.technology/portrait/header/331560-1682591217.jpg?lm=1
Declan Rice,25,Arsenal FC,Defensive Midfield,Midfield,England,€120.00m,https://www.transfermarkt.us/declan-rice/profil/spieler/357662,declan-rice,357662,Premier League,https://img.a.transfermarkt.technology/portrait/header/357662-1687962936.jpg?lm=1
Thomas Partey,31,Arsenal FC,Defensive Midfield,Midfield,Ghana,€18.00m,https://www.transfermarkt.us/thomas-partey/profil/spieler/230784,thomas-partey,230784,Premier League,https://img.a.transfermarkt.technology/portrait/header/230784-1668430877.jpg?lm=1
Jorginho,32,Arsenal FC,Defensive Midfield,Midfield,Italy,€12.00m,https://www.transfermarkt.us/jorginho/profil/spieler/102017,jorginho,102017,Premier League,https://img.a.transfermarkt.technology/portrait/header/102017-1682590896.jpg?lm=1
