Names,Age,Team,Nationality,Contract Expiration,Page Link,Name ID,Manager ID,Manager Profile
Arne Slot,46,Liverpool FC,Netherlands,"Jun 30, 2027",https://www.transfermarkt.us/arne-slot/profil/trainer/34822,arne-slot,34822,https://img.a.transfermarkt.technology/portrait/header/34822-1704539931.jpg?lm=1
Mikel Arteta,42,Arsenal FC,Spain,"Jun 30, 2027",https://www.transfermarkt.us/mikel-arteta/profil/trainer/47620,mikel-arteta,47620,https://img.a.transfermarkt.technology/portrait/header/47620-1681398729.jpg?lm=1
Enzo Maresca,44,Chelsea FC,Italy,"Jun 30, 2029",https://www.transfermarkt.us/enzo-maresca/profil/trainer/53749,enzo-maresca,53749,https://img.a.transfermarkt.technology/portrait/header/53749-1717428745.jpg?lm=1
Fabian Hürzeler,31,Brighton & Hove Albion,Germany,"Jun 30, 2027",https://www.transfermarkt.us/fabian-hurzeler/profil/trainer/48076,fabian-hurzeler,48076,https://img.a.transfermarkt.technology/portrait/header/48076-1692965652.jpg?lm=1
Pep Guardiola,53,Manchester City,Spain,"Jun 30, 2027",https://www.transfermarkt.us/pep-guardiola/profil/trainer/5672,pep-guardiola,5672,https://img.a.transfermarkt.technology/portrait/header/5672-1701335303.jpg?lm=1
Nuno Espírito Santo,50,Nottingham Forest,Portugal,"Jun 30, 2026",https://www.transfermarkt.us/nuno-espirito-santo/profil/trainer/16520,nuno-espirito-santo,16520,https://img.a.transfermarkt.technology/portrait/header/16520-1472031303.jpg?lm=1
Ange Postecoglou,59,Tottenham Hotspur,Australia,"Jun 30, 2027",https://www.transfermarkt.us/ange-postecoglou/profil/trainer/11929,ange-postecoglou,11929,https://img.a.transfermarkt.technology/portrait/header/11929-1686044503.jpg?lm=1
Thomas Frank,51,Brentford FC,Denmark,"Jun 30, 2027",https://www.transfermarkt.us/thomas-frank/profil/trainer/9002,thomas-frank,9002,https://img.a.transfermarkt.technology/portrait/header/9002-1560935512.png?lm=1
Ruben Amorim,39,Manchester United,Portugal,"Jun 30, 2027",https://www.transfermarkt.us/ruben-amorim/profil/trainer/65202,ruben-amorim,65202,https://img.a.transfermarkt.technology/portrait/header/65202-1681307647.jpg?lm=1
Marco Silva,47,Fulham FC,Portugal,"Jun 30, 2026",https://www.transfermarkt.us/marco-silva/profil/trainer/19631,marco-silva,19631,https://img.a.transfermarkt.technology/portrait/header/19631-1628697691.jpg?lm=1
Eddie Howe,47,Newcastle United,England,"Jun 30, 2026",https://www.transfermarkt.us/eddie-howe/profil/trainer/10976,eddie-howe,10976,https://img.a.transfermarkt.technology/portrait/header/10976-1683292620.jpg?lm=1
Unai Emery,53,Aston Villa,Spain,"Jun 30, 2029",https://www.transfermarkt.us/unai-emery/profil/trainer/5075,unai-emery,5075,https://img.a.transfermarkt.technology/portrait/header/5075-1696964165.jpg?lm=1
Andoni Iraola,42,AFC Bournemouth,Spain,"Jun 30, 2026",https://www.transfermarkt.us/andoni-iraola/profil/trainer/60677,andoni-iraola,60677,https://img.a.transfermarkt.technology/portrait/header/60677-1596785077.jpg?lm=1
Julen Lopetegui,58,West Ham United,Spain,"Jun 30, 2026",https://www.transfermarkt.us/julen-lopetegui/profil/trainer/6615,julen-lopetegui,6615,https://img.a.transfermarkt.technology/portrait/header/6615-1664870155.jpg?lm=1
Ruud van Nistelrooy,48,Leicester City,Netherlands,"Jun 30, 2027",https://www.transfermarkt.us/ruud-van-nistelrooy/profil/trainer/36058,ruud-van-nistelrooy,36058,https://img.a.transfermarkt.technology/portrait/header/36058-1730116993.jpg?lm=1
Oliver Glasner,50,Crystal Palace,Austria,"Jun 30, 2026",https://www.transfermarkt.us/oliver-glasner/profil/trainer/22891,oliver-glasner,22891,https://img.a.transfermarkt.technology/portrait/header/22891-1663064999.jpg?lm=1
Sean Dyche,53,Everton FC,England,"Jun 30, 2025",https://www.transfermarkt.us/sean-dyche/profil/trainer/15856,sean-dyche,15856,https://img.a.transfermarkt.technology/portrait/header/15856-1708012103.jpg?lm=1
Gary O'Neil,41,Wolverhampton Wanderers,England,"Jun 30, 2028",https://www.transfermarkt.us/gary-oneil/profil/trainer/82647,gary-oneil,82647,https://img.a.transfermarkt.technology/portrait/header/82647-1661847171.jpg?lm=1
Kieran McKenna,38,Ipswich Town,Northern Ireland,"Jun 30, 2028",https://www.transfermarkt.us/kieran-mckenna/profil/trainer/45670,kieran-mckenna,45670,https://img.a.transfermarkt.technology/portrait/header/45670-1643108376.jpg?lm=1
Russell Martin,38,Southampton FC,Scotland,"Jun 30, 2026",https://www.transfermarkt.us/russell-martin/profil/trainer/74204,russell-martin,74204,https://img.a.transfermarkt.technology/portrait/header/74204-1653985778.jpg?lm=1
